Client,Project,Name,Task,Date,Hours,Note,Billable
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-03,6.5,Refined design elements,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-04,6.5,Drafted initial design concepts,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-05,6,Drafted initial design concepts,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-06,7,Made revisions to design based on feedback,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-07,7,Made revisions to design based on feedback,Yes
Client 1,Website Development,Isabella Rodriguez,Project Meeting,2023-07-07,1.5,Project meeting,No
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-08,7.5,Finalized design,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-09,7,Prepared design for implementation,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-10,7,Refined design elements,Yes
Client 1,Website Development,Isabella Rodriguez,Project Meeting,2023-07-10,1,Project meeting,No
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-11,7,Finalized design,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-12,7,Made revisions to design based on feedback,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-13,7.5,Prepared design for implementation,No
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-14,8,Drafted initial design concepts,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-15,7.5,Made revisions to design based on feedback,No
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-16,7,Made revisions to design based on feedback,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-17,6,Prepared design for implementation,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-18,7,Drafted initial design concepts,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-19,0.5,Drafted initial design concepts,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-20,0,Made revisions to design based on feedback,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-21,0,Refined design elements,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-22,0,Prepared design for implementation,Yes
Client 1,Website Development,Isabella Rodriguez,Project Meeting,2023-07-22,1,Project meeting,No
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-23,0,Drafted initial design concepts,Yes
Client 1,Website Development,Isabella Rodriguez,Design,2023-07-24,0,Made revisions to design based on feedback,Yes
Client 1,Website Development,John Smith,Design,2023-07-03,2.5,Managed and coordinated design team,Yes
Client 1,Website Development,John Smith,Design,2023-07-04,1,Consulted with client on design,Yes
Client 1,Website Development,John Smith,Design,2023-07-05,2,Held design review meeting,Yes
Client 1,Website Development,John Smith,Design,2023-07-06,1.5,Reviewed design revisions,Yes
